Data_Pool,Data_Connection,Table,Size(B),Last_Updated
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_LIPS_ACTIVITIES_BACKUP,4413.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,No info,_CEL_O2C_LIPS_ACTIVITIES,11649679.36,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,_CEL_O2C_LIPS_ACTIVITIES,363571.2,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,_CEL_O2C_LIPS_ACTIVITIES,11502878.72,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_LIPS_ACTIVITIES,1048576.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,No info,_CEL_O2C_DTEST_STEP,204584.96,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,No info,_CEL_O2C_DTEST_CASE,22476.8,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,_CEL_O2C_CASES,29306.88,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,_CEL_O2C_CASES,2076180.48,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,_CEL_O2C_CASES,37601.28,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,No info,_CEL_O2C_ACTIVITIES,609505.28,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,_CEL_O2C_ACTIVITIES,609505.28,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_User,7301.12,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_Task,1955.84,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_Opportunity,4751.36,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_Lead,25487.36,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_Event,2744.32,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_Contact,14028.8,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_Account,7096.32,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_LEAD_ACTIVITIES,0.0,2020-11-08 00:38:00
SAP ECC - FI ABeam Template v1,No info,_CEL_FI_DTEST_STEP,79329.28,2020-11-08 00:38:00
SAP ECC - FI ABeam Template v1,No info,_CEL_FI_DTEST_CASE,47493.12,2020-11-08 00:38:00
SAP ECC - FI ABeam Template v1,ABeam Cloud R2M,_CEL_FI_ACTIVITIES,5179965.44,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CURRENCIES,19755171.84,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_User,7424.0,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_Task,1372.16,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_Opportunity,8601.6,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_Lead,25487.36,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_Event,3082.24,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_Contact,14540.8,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_Account,7792.64,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_CONTACT_ACTIVITIES,13834.24,2020-11-08 00:38:00
[Migrated to abeamcloud] Concur - Expense ABeam Template v1,No info,_CEL_CONCUR_REP_CHANGES_ACTIVITIES,43202.56,2020-11-08 00:38:00
[Migrated to abeamcloud] Concur - Expense ABeam Template v1,Abeam Concur Development,_CEL_CONCUR_REP_CHANGES_ACTIVITIES,43202.56,2020-11-08 00:38:00
SAP ECC - P2P ABeam Template v1,No info,_CEL_COMMON_DTEST_FORM_WHITELIST,0.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,No info,_CEL_COMMON_DTEST_FORM_WHITELIST,0.0,2020-11-08 00:38:00
SAP ECC - P2P ABeam Template v1,No info,_CEL_COMMON_DTEST_FORMCOMP,29798.4,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,No info,_CEL_COMMON_DTEST_FORMCOMP,657315.84,2020-11-08 00:38:00
SAP ECC - FI ABeam Template v1,No info,_CEL_COMMON_DTEST_ENTRY,96501.76,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,No info,_CEL_COMMON_DTEST_ENTRY,200570.88,2020-11-08 00:38:00
SAP ECC - P2P ABeam Template v1,No info,_CEL_COMMON_DTEST_ENTRY,136704.0,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,_CEL_AR_CASES,23787.52,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,_CEL_AR_ACTIVITIES,186030.08,2020-11-08 00:38:00
SAP ECC - FI-AP ABeam Template v1,SAP ECC,_CEL_AP_ACTIVITIES,153886.72,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,No info,_CEL_ACTIVITIES,9363783.68,2020-11-08 00:38:00
SAP ECC - FI ABeam Template v1,ABeam Cloud R2M,WITH_ITEM,239196.16,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VEDA,0.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VEDA,0.0,2020-11-08 00:38:00
SAP ECC - FI-AP ABeam Template v1,SAP ECC,VBSEGK,13086.72,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBRP,298362.88,2020-11-08 00:38:00
SAP ECC - PS ABeam Template v1,ABeam Cloud R2M,VBRP,0.0,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBRP,16483614.72,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBRP,1646264.32,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBRP,604928.0,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,VBRP,299048.96,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBRK,108974.08,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBRK,4582277.12,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBRK,592926.72,2020-11-08 00:38:00
